transaction_amount,transaction_id,wallet_id
$31.10,125,10
$4.98,125,70
$109.18,125,74
$194.72,126,40
$95.93,126,61
$234.96,126,52
$66.39,127,77
$85.66,128,48
$118.43,128,22
$116.18,129,11
$42.80,129,72
$68.60,130,75
$56.15,130,27
$24.80,131,61
$246.85,131,52
$128.33,132,26
$43.45,133,68
$215.50,133,59
$156.78,134,10
$56.45,134,74
$147.07,135,68
$30.95,136,26
$52.68,137,29
$249.09,138,23
$82.34,138,27
$84.59,139,32
$242.26,139,59
$13.19,140,79
$125.15,140,13
$229.51,141,6
$115.13,142,31
$171.80,142,60
$207.71,142,6
$227.65,143,3
$230.98,143,9
$67.75,143,50
$77.66,144,43
$89.10,145,15
$54.20,146,26
$239.96,147,26
$180.88,148,46
$153.65,149,26
$19.37,150,63
$88.21,150,7
$111.81,151,33
$152.21,152,61
$76.43,152,52
$161.36,153,55
$138.64,153,21
$153.74,154,26
$115.75,155,48
$5.14,155,2
$110.73,156,14
$152.82,156,19
$241.53,156,45
$221.66,156,37
$244.80,157,46
$145.50,158,26
$182.56,159,46
$88.38,160,78
$133.65,160,42
$9.06,160,71
$34.36,160,49
$89.69,161,70
$246.10,162,48
$161.92,162,2
$51.16,163,77
$107.55,163,66
$192.59,164,14
$21.79,164,45
$9.97,165,51
$26.67,165,31
$63.85,165,60
$163.65,165,6
$177.29,166,10
$20.11,166,70
$81.24,166,74
$84.61,167,26
$13.09,168,29
$15.21,169,57
$77.94,169,24
$52.82,169,58
$227.29,170,46
$14.73,171,51
$223.82,171,31
$142.81,171,60
$230.34,171,6
$96.36,172,18
$105.53,172,1
$113.78,172,17
$10.09,173,81
$110.98,174,47
$74.77,175,30
$209.94,175,24
$53.90,176,3
$240.74,176,9
$95.69,176,50
$107.93,177,8
$225.88,177,66
$16.29,178,13
$85.21,179,6
$115.83,180,64
$83.48,180,28
$215.89,181,39
$1.14,181,34
$56.90,182,79
$100.81,182,13
$79.07,183,67
$17.77,183,77
$9.36,184,44
$226.91,184,29
$113.01,184,25
$19.84,185,41
$111.70,186,65
$224.17,186,55
$164.41,186,21
$152.88,187,1
$26.52,188,31
$163.62,188,60
$96.62,188,6
$163.51,189,26
$90.24,190,4
$108.69,190,23
$9.12,190,75
$188.99,190,27
$89.86,191,10
$202.15,191,70
$104.96,192,81
$157.62,193,47
$239.40,193,64
$200.48,193,28
$65.40,194,39
$94.41,194,34
$201.66,195,81
$39.30,196,42
$230.02,196,71
$106.63,196,49
$224.07,196,15
$225.61,197,25
$192.69,198,78
$152.76,198,42
$11.91,198,71
$232.20,199,26
$181.10,200,65
$121.06,200,55
$13.31,200,21
