income_id,income_name,income_amount,wallet_id,income_date
140,Investments,1507,58,
141,Side Business,1904,3,
142,,1868,33,2022-10-26
143,eBay,1927,6,2023-02-23
144,Investments,711,27,
145,,1777,52,2022-09-17
146,,1309,32,
147,,1067,9,
148,,1455,28,2022-05-31
149,,868,27,2022-11-17
150,,1572,54,
151,Cash,436,78,2022-06-27
152,Investments,823,18,
153,PayPal,1542,76,2022-09-27
154,Side Business,1684,18,2022-12-07
155,Inheritance,842,10,2022-12-29
156,Inheritance,1614,71,2022-06-03
157,Gifts,809,34,2022-11-17
158,Inheritance,1377,77,2022-11-13
159,eBay,1427,9,2022-11-19
160,Company Cash,473,67,2022-05-19
161,,1728,69,2022-06-17
162,PayPal,728,30,2022-06-10
163,Bank Interest,542,48,2022-09-20
164,Bonds,283,27,2022-12-08
165,Gifts,1679,69,2022-05-09
166,,721,29,2022-10-22
167,,779,41,2022-11-04
168,PayPal,227,1,2022-05-06
169,,1063,28,2022-11-28
170,,1943,54,
171,,1843,60,2022-11-08
172,Side Business,984,20,2023-02-16
173,Inheritance,1029,24,2023-03-15
174,Side Business,1446,2,
175,PayPal,1317,28,2023-01-23
176,,830,69,
177,Home Business,759,37,2022-04-22
178,PayPal,696,71,2022-07-16
179,,286,49,2022-09-16
180,PayPal,1570,66,2022-12-28
181,Commission,1275,77,
182,,501,1,2022-08-24
183,Investments,862,78,2022-08-13
184,,1751,76,2023-02-12
185,,494,25,
186,eBay,394,12,
187,Gifts,1240,63,2023-03-01
188,Commission,1917,66,
189,PayPal,1554,21,2023-03-08
190,Side Business,1062,75,2023-02-09
191,Commission,488,62,2022-07-21
192,,1899,65,2023-04-07
193,Income,1704,24,2022-06-24
194,Income,1038,78,2022-10-24
195,Inheritance,1393,3,2023-01-16
196,Income,389,36,
197,,310,9,2022-12-08
198,Inheritance,1995,1,2022-09-06
199,,1789,80,2022-08-24
200,Home Business,1297,29,2022-08-05
