envelope_id,envelope_name,acc_id,envelope_budget_amount,envelope_current_balance,envelope_date
138,Food,4,443,215,2023-04-05
139,Toys,13,330,-16,2022-08-15
140,Eating Out,23,416,210,2022-07-25
141,Secret,7,310,286,2023-03-27
142,Charity,1,357,198,2022-05-25
143,Charity,13,414,237,2023-03-30
144,Books,4,442,403,2022-12-28
145,Secret,17,311,260,2023-02-19
146,Party,24,382,211,2022-07-07
147,Groceries,4,437,253,2023-04-03
148,Toys,16,415,185,2022-06-08
149,Books,19,483,168,2022-12-17
150,,11,325,272,2023-03-13
151,Secret,11,389,88,2022-07-02
152,Food,20,397,228,2022-05-23
153,blank,22,497,398,2022-08-25
154,Eating Out,25,495,-95,2022-07-16
155,Party,23,465,169,2023-01-31
156,Toys,25,347,346,2022-11-10
157,Charity,15,375,74,2023-03-31
158,blank,15,382,-78,2022-08-17
159,,10,393,-57,2023-02-04
160,Toys,20,362,362,2023-03-13
161,Cars,14,453,53,2022-04-30
162,Groceries,4,412,-4,2022-06-24
163,Books,25,387,294,2022-10-15
164,Secret,17,462,237,2023-01-10
165,Games,19,426,70,2022-11-16
166,blank,5,363,118,2022-09-10
167,Charity,13,447,93,2022-07-31
168,Toys,17,335,7,2022-07-02
169,Games,11,439,76,2023-03-18
170,Secret,3,424,379,2023-02-12
171,Party,9,464,422,2022-05-23
172,Food,8,496,352,2022-11-10
173,Secret,17,425,-90,2023-01-30
174,Food,7,392,228,2022-12-03
175,Secret,15,324,-25,2023-04-01
176,Secret,17,389,136,2022-10-06
177,Books,24,418,27,2023-04-05
178,blank,18,415,-47,2022-11-08
179,blank,22,484,196,2022-07-31
180,Games,11,311,10,2022-10-27
181,Gas,1,488,334,2022-04-22
182,blank,16,444,101,2022-09-21
183,Cars,21,305,-55,2023-02-13
184,Party,1,430,291,2022-09-07
185,Charity,12,323,138,2022-08-21
186,Cars,24,434,92,2023-01-14
187,Secret,9,324,125,2022-11-08
188,Cars,24,346,162,2022-06-27
189,Eating Out,9,407,-68,2022-11-30
190,Food,24,334,217,2022-12-06
191,,4,460,292,2023-03-28
192,blank,17,343,-26,2022-05-02
193,Secret,17,398,-19,2023-03-22
194,Cars,16,380,265,2022-07-19
195,Secret,17,425,185,2022-06-05
196,blank,18,450,186,2023-03-22
197,Games,21,406,188,2022-08-30
198,Charity,15,338,277,2022-10-08
199,Groceries,8,457,177,2022-09-14
200,Groceries,8,368,198,2023-02-16
